BeginDate,Total_Predicted,HydroPredictions,NuclearPredictions,WindPredictions,SolarPredictions,RefusePredictions,WoodPredictions
2025-05-01 00:03:17+00:00,11811.0,2238.0,2112.0,879.0,7.0,256.0,211.0
2025-05-01 00:10:41+00:00,11793.0,2164.0,2113.0,886.0,7.0,249.0,213.0
2025-05-01 00:19:54+00:00,11775.0,2153.0,2113.0,870.0,7.0,252.0,214.0
2025-05-01 00:30:35+00:00,11770.0,2167.0,2114.0,859.0,7.0,250.0,214.0
2025-05-01 00:39:09+00:00,11670.0,2151.0,2112.0,822.0,7.0,253.0,216.0
2025-05-01 00:49:34+00:00,11435.0,2044.0,2114.0,778.0,7.0,254.0,215.0
2025-05-01 00:53:29+00:00,11399.0,1979.0,2112.0,785.0,7.0,256.0,214.0
2025-05-01 01:03:49+00:00,11431.0,1940.0,2116.0,785.0,3.0,246.0,211.0
2025-05-01 01:16:24+00:00,11319.0,1802.0,2116.0,799.0,3.0,253.0,215.0
2025-05-01 01:23:42+00:00,11192.0,1823.0,2115.0,817.0,3.0,256.0,207.0
2025-05-01 01:27:26+00:00,11006.0,1604.0,2114.0,841.0,3.0,255.0,207.0
2025-05-01 01:37:45+00:00,10833.0,1514.0,2114.0,804.0,3.0,254.0,213.0
2025-05-01 01:46:20+00:00,10705.0,1372.0,2115.0,795.0,3.0,262.0,212.0
2025-05-01 01:54:14+00:00,10648.0,1255.0,2115.0,784.0,3.0,255.0,213.0
2025-05-01 01:58:55+00:00,10629.0,1276.0,2115.0,794.0,3.0,253.0,214.0
2025-05-01 02:03:03+00:00,10558.0,1290.0,2115.0,810.0,3.0,257.0,209.0
2025-05-01 02:12:24+00:00,10375.0,1293.0,2116.0,784.0,3.0,257.0,209.0
2025-05-01 02:23:53+00:00,10335.0,1070.0,2117.0,786.0,3.0,256.0,214.0
2025-05-01 02:33:05+00:00,10086.0,1067.0,2117.0,770.0,3.0,253.0,212.0
2025-05-01 02:38:31+00:00,10074.0,1070.0,2118.0,791.0,3.0,254.0,214.0
2025-05-01 02:48:05+00:00,9985.0,1071.0,2118.0,792.0,3.0,258.0,213.0
2025-05-01 02:53:00+00:00,9797.0,1076.0,2119.0,751.0,3.0,260.0,217.0
2025-05-01 02:58:44+00:00,9627.0,969.0,2117.0,718.0,3.0,258.0,213.0
2025-05-01 03:08:27+00:00,9639.0,938.0,2118.0,719.0,3.0,259.0,215.0
2025-05-01 03:17:55+00:00,9372.0,912.0,2119.0,752.0,3.0,258.0,211.0
2025-05-01 03:29:45+00:00,9317.0,912.0,2118.0,757.0,3.0,252.0,209.0
2025-05-01 03:33:10+00:00,9236.0,911.0,2118.0,736.0,3.0,244.0,212.0
