BeginDate,Total_Predicted,HydroPredictions,NuclearPredictions,WindPredictions,SolarPredictions,RefusePredictions,WoodPredictions
2025-05-01 06:56:17+00:00,8778.0,1536.0,2113.0,222.0,378.0,239.0,213.0
2025-05-01 06:57:05+00:00,8782.0,1536.0,2113.0,228.0,380.0,243.0,214.0
2025-05-01 07:00:54+00:00,8696.0,1402.0,2114.0,222.0,367.0,254.0,212.0
2025-05-01 07:07:22+00:00,8887.0,1330.0,2114.0,220.0,434.0,248.0,212.0
2025-05-01 07:16:57+00:00,8675.0,1110.0,2113.0,205.0,503.0,248.0,214.0
2025-05-01 07:23:04+00:00,8513.0,1112.0,2114.0,195.0,540.0,248.0,206.0
2025-05-01 07:32:30+00:00,8305.0,990.0,2114.0,171.0,520.0,246.0,212.0
2025-05-01 07:34:40+00:00,8320.0,988.0,2116.0,181.0,533.0,252.0,214.0
2025-05-01 07:40:07+00:00,8200.0,990.0,2114.0,179.0,579.0,250.0,216.0
2025-05-01 07:44:11+00:00,8183.0,1008.0,2115.0,181.0,606.0,244.0,213.0
2025-05-01 07:45:23+00:00,8183.0,1008.0,2115.0,181.0,606.0,244.0,213.0
2025-05-01 07:55:34+00:00,7948.0,1048.0,2113.0,184.0,645.0,244.0,215.0
2025-05-01 08:01:42+00:00,8011.0,949.0,2113.0,181.0,641.0,243.0,215.0
2025-05-01 08:03:26+00:00,8011.0,949.0,2113.0,181.0,641.0,243.0,215.0
2025-05-01 08:08:39+00:00,7892.0,949.0,2114.0,168.0,661.0,242.0,213.0
2025-05-01 08:17:35+00:00,7853.0,949.0,2114.0,162.0,681.0,252.0,217.0
2025-05-01 08:24:04+00:00,7993.0,949.0,2112.0,159.0,736.0,243.0,219.0
2025-05-01 08:30:09+00:00,7993.0,949.0,2112.0,159.0,736.0,243.0,219.0
2025-05-01 08:32:11+00:00,7766.0,949.0,2114.0,152.0,712.0,240.0,217.0
2025-05-01 08:35:18+00:00,7928.0,950.0,2114.0,155.0,725.0,251.0,207.0
2025-05-01 08:37:20+00:00,8070.0,953.0,2116.0,151.0,736.0,246.0,210.0
2025-05-01 08:46:05+00:00,8010.0,991.0,2114.0,135.0,746.0,243.0,206.0
2025-05-01 08:57:54+00:00,8017.0,1047.0,2114.0,116.0,772.0,249.0,214.0
2025-05-01 08:58:25+00:00,8017.0,1047.0,2114.0,116.0,772.0,249.0,214.0
2025-05-01 09:02:25+00:00,7956.0,1055.0,2116.0,109.0,691.0,248.0,219.0
2025-05-01 09:05:18+00:00,7874.0,1051.0,2116.0,114.0,661.0,255.0,216.0
2025-05-01 09:07:24+00:00,7911.0,1052.0,2115.0,104.0,672.0,251.0,218.0
2025-05-01 09:10:36+00:00,8063.0,1048.0,2113.0,107.0,682.0,250.0,219.0
2025-05-01 09:16:36+00:00,8155.0,1038.0,2114.0,94.0,683.0,250.0,215.0
2025-05-01 09:24:49+00:00,8020.0,1048.0,2116.0,95.0,705.0,258.0,215.0
2025-05-01 09:28:52+00:00,8020.0,1048.0,2116.0,95.0,705.0,258.0,215.0
2025-05-01 09:35:38+00:00,8013.0,1045.0,2116.0,85.0,702.0,251.0,217.0
2025-05-01 09:39:52+00:00,8019.0,1050.0,2114.0,85.0,701.0,253.0,217.0
2025-05-01 09:43:59+00:00,8019.0,1050.0,2114.0,85.0,701.0,253.0,217.0
2025-05-01 09:47:35+00:00,7947.0,1046.0,2114.0,72.0,718.0,254.0,212.0
2025-05-01 09:55:51+00:00,7860.0,1053.0,2115.0,69.0,726.0,252.0,213.0
2025-05-01 10:03:15+00:00,7871.0,1052.0,2113.0,64.0,718.0,246.0,217.0
2025-05-01 10:05:11+00:00,7874.0,1052.0,2113.0,65.0,722.0,245.0,216.0
2025-05-01 10:12:40+00:00,7716.0,1059.0,2116.0,58.0,726.0,242.0,218.0
2025-05-01 10:16:39+00:00,7715.0,1054.0,2115.0,53.0,700.0,239.0,219.0
2025-05-01 10:22:39+00:00,7888.0,1054.0,2115.0,45.0,720.0,251.0,215.0
2025-05-01 10:30:04+00:00,7815.0,1054.0,2114.0,48.0,712.0,250.0,217.0
2025-05-01 10:34:24+00:00,7780.0,1055.0,2114.0,48.0,730.0,253.0,219.0
2025-05-01 10:44:11+00:00,7615.0,1059.0,2115.0,39.0,739.0,244.0,222.0
2025-05-01 10:58:18+00:00,7492.0,1059.0,2114.0,41.0,750.0,237.0,222.0
2025-05-01 11:03:55+00:00,7696.0,1064.0,2114.0,36.0,808.0,250.0,222.0
2025-05-01 11:13:34+00:00,7797.0,1064.0,2114.0,35.0,825.0,253.0,223.0
2025-05-01 11:19:19+00:00,7780.0,1052.0,2115.0,32.0,817.0,252.0,224.0
2025-05-01 11:26:25+00:00,7792.0,1054.0,2116.0,36.0,813.0,250.0,226.0
2025-05-01 11:33:01+00:00,7734.0,1057.0,2114.0,37.0,824.0,247.0,224.0
2025-05-01 11:40:15+00:00,7729.0,1070.0,2115.0,34.0,803.0,249.0,224.0
2025-05-01 11:47:43+00:00,7811.0,1069.0,2114.0,33.0,816.0,246.0,226.0
2025-05-01 11:53:24+00:00,7796.0,1065.0,2116.0,32.0,819.0,247.0,221.0
2025-05-01 12:01:21+00:00,7835.0,1066.0,2115.0,38.0,834.0,242.0,221.0
2025-05-01 12:03:32+00:00,7825.0,1072.0,2112.0,30.0,832.0,247.0,220.0
2025-05-01 12:03:36+00:00,7787.0,1071.0,2112.0,30.0,836.0,250.0,223.0
2025-05-01 12:08:39+00:00,7628.0,1073.0,2114.0,35.0,836.0,244.0,221.0
2025-05-01 12:13:38+00:00,7588.0,1070.0,2114.0,32.0,835.0,241.0,218.0
2025-05-01 12:22:04+00:00,7649.0,1068.0,2116.0,40.0,810.0,241.0,216.0
2025-05-01 12:23:31+00:00,7651.0,1065.0,2114.0,39.0,814.0,245.0,217.0
2025-05-01 12:27:28+00:00,7729.0,1066.0,2114.0,44.0,836.0,248.0,219.0
2025-05-01 12:35:59+00:00,7723.0,1070.0,2114.0,40.0,835.0,250.0,217.0
2025-05-01 12:44:09+00:00,7783.0,1079.0,2114.0,46.0,836.0,244.0,222.0
2025-05-01 12:54:38+00:00,7954.0,1082.0,2115.0,48.0,833.0,253.0,222.0
2025-05-01 13:02:34+00:00,7943.0,1079.0,2112.0,46.0,833.0,255.0,225.0
2025-05-01 13:12:25+00:00,7836.0,1085.0,2113.0,49.0,823.0,258.0,217.0
2025-05-01 13:19:18+00:00,7867.0,1089.0,2114.0,42.0,820.0,255.0,222.0
2025-05-01 13:27:26+00:00,7881.0,1088.0,2114.0,47.0,803.0,260.0,223.0
2025-05-01 13:33:24+00:00,7953.0,1088.0,2115.0,43.0,801.0,256.0,222.0
2025-05-01 13:42:16+00:00,7890.0,1091.0,2116.0,50.0,788.0,254.0,222.0
2025-05-01 13:45:35+00:00,7890.0,1091.0,2116.0,50.0,788.0,254.0,222.0
2025-05-01 13:47:00+00:00,8001.0,1088.0,2116.0,58.0,814.0,247.0,220.0
2025-05-01 13:47:08+00:00,8001.0,1088.0,2116.0,58.0,814.0,247.0,220.0
2025-05-01 13:54:07+00:00,7869.0,1085.0,2115.0,54.0,805.0,257.0,222.0
2025-05-01 13:57:12+00:00,7869.0,1085.0,2115.0,54.0,805.0,257.0,222.0
2025-05-01 13:58:59+00:00,7869.0,1085.0,2115.0,54.0,805.0,257.0,222.0
2025-05-01 14:00:22+00:00,8026.0,1084.0,2113.0,61.0,790.0,252.0,225.0
2025-05-01 14:02:34+00:00,8015.0,1082.0,2113.0,63.0,793.0,251.0,225.0
2025-05-01 14:11:36+00:00,7897.0,1088.0,2114.0,60.0,796.0,246.0,224.0
2025-05-01 14:16:46+00:00,7892.0,1091.0,2115.0,65.0,779.0,244.0,224.0
2025-05-01 14:25:45+00:00,8123.0,1093.0,2113.0,54.0,776.0,250.0,221.0
2025-05-01 14:32:54+00:00,8219.0,1089.0,2114.0,52.0,766.0,254.0,222.0
2025-05-01 14:33:13+00:00,8333.0,1092.0,2114.0,57.0,763.0,251.0,223.0
2025-05-01 14:36:32+00:00,8370.0,1093.0,2113.0,68.0,753.0,247.0,222.0
2025-05-01 14:44:03+00:00,8387.0,1092.0,2116.0,59.0,734.0,212.0,223.0
2025-05-01 14:54:40+00:00,8508.0,1055.0,2114.0,52.0,703.0,221.0,219.0
